time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-14T05:10:38.810Z,-3.1183,141.9858,35.321,4.8,mb,32,111,1.415,0.69,us,us7000k8cd,2023-06-14T05:28:54.040Z,"40 km W of Aitape, Papua New Guinea",earthquake,7.34,7.479,0.071,62,reviewed,us,us
2023-06-14T02:34:34.946Z,-8.532,116.8012,10.82,4.5,mb,15,81,1.008,0.61,us,us7000k8be,2023-06-14T02:53:09.040Z,"15 km ESE of Labuan Lombok, Indonesia",earthquake,5.81,5.924,0.314,4,reviewed,us,us
2023-06-13T23:39:10.080Z,-30.0798,-177.7162,35.51,4.9,mb,26,127,0.834,0.57,us,us7000k8a8,2023-06-13T23:57:01.040Z,"Kermadec Islands, New Zealand",earthquake,11.74,8.158,0.122,21,reviewed,us,us
2023-06-13T23:15:59.913Z,-23.0455,179.223,551.92,4.8,mb,45,66,5.387,1.06,us,us7000k8a1,2023-06-13T23:32:25.040Z,"south of the Fiji Islands",earthquake,12.41,9.776,0.093,36,reviewed,us,us
2023-06-13T21:43:53.331Z,-23.1887,-179.8691,526.808,4.8,mb,69,62,4.768,0.8,us,us7000k89j,2023-06-13T21:59:41.040Z,"south of the Fiji Islands",earthquake,10.12,8.093,0.059,89,reviewed,us,us
2023-06-13T20:50:56.093Z,33.0372,75.9505,12.318,4.6,mb,133,57,2.327,0.89,us,us7000k89b,2023-06-14T04:13:04.175Z,"eastern Kashmir",earthquake,8.76,4.404,0.049,133,reviewed,us,us
2023-06-13T20:17:56.332Z,41.6723,80.826,10,4.7,mb,122,47,1.299,0.58,us,us7000k88z,2023-06-13T21:22:44.040Z,"southern Xinjiang, China",earthquake,5.79,1.845,0.052,116,reviewed,us,us
2023-06-13T19:22:01.351Z,-29.4617,-176.7556,10,4.9,mb,48,120,1.036,1.51,us,us7000k88g,2023-06-13T19:53:15.040Z,"Kermadec Islands region",earthquake,10.64,1.834,0.068,68,reviewed,us,us
2023-06-13T19:01:13.781Z,-29.16,-177.194,55.345,4.9,mb,41,115,0.643,1.02,us,us7000k88d,2023-06-13T19:23:04.040Z,"Kermadec Islands, New Zealand",earthquake,10.77,6.325,0.086,42,reviewed,us,us
2023-06-13T18:35:55.463Z,-29.2453,-177.0715,52.594,5.1,mb,64,115,0.742,0.96,us,us7000k883,2023-06-13T18:59:50.040Z,"Kermadec Islands, New Zealand",earthquake,10.22,5.097,0.073,61,reviewed,us,us
2023-06-13T17:38:15.897Z,-29.3664,-177.0733,23.142,5.3,mww,82,73,0.747,0.92,us,us7000k87x,2023-06-13T18:57:47.040Z,"Kermadec Islands, New Zealand",earthquake,9.66,4.167,0.073,18,reviewed,us,us
2023-06-13T17:03:21.208Z,-29.1697,-177.2486,57.26,5.2,mb,50,126,0.594,1.05,us,us7000k87z,2023-06-13T18:38:18.040Z,"Kermadec Islands, New Zealand",earthquake,10.26,5.579,0.081,52,reviewed,us,us
2023-06-13T17:01:35.961Z,-29.446,-176.8477,21.052,5.4,mww,62,59,0.954,0.8,us,us7000k87y,2023-06-13T19:05:27.843Z,"Kermadec Islands region",earthquake,8.87,4.703,0.068,21,reviewed,us,us
2023-06-13T17:00:22.659Z,-29.2413,-177.0824,49.024,5.3,mb,86,77,0.733,0.78,us,us7000k87n,2023-06-13T18:10:27.040Z,"Kermadec Islands, New Zealand",earthquake,6.06,4.951,0.063,85,reviewed,us,us
